Reference,Value,Quantity,Kicad Footprint,URL
C1,220u,1,Capacitors_SMD:c_elec_6.3x7.7,
C2,10p,1,SMD_Packages:SMD-0603,
C3,1u,1,SMD_Packages:SMD-0603,
C4,10u,1,SMD_Packages:SMD-0603,
C5,680p,1,SMD_Packages:SMD-0603,
C6 C9 C10,47u,3,Capacitors_SMD:c_elec_6.3x7.7,
C7 C8,4.7u,2,SMD_Packages:SMD-0603,
C11,330p,1,SMD_Packages:SMD-0603,
CON1,USB-MICRO-B,1,_connectors:_Micro-USB-AB-receptacle-SMT,
D1,S1J-13-F,1,Diodes_SMD:Diode-SMA_Standard,
D2 D3,1N4148W,2,Diodes_SMD:Diode-MiniMELF_Standard,
D4 D6,MBRA140,2,Diodes_SMD:Diode-SMA_Standard,
D5 D7,LED,2,LEDs:LED-0805,
J1,JST,1,_connectors:_Pin2mm_2,
L1,4.7uH,1,_standard:Inductor2300,
MIC1,MICROPHONE,1,_connectors:_Pin2mm_2,
Q1 Q2,IRF510,2,_standard:TO-263,
Q3,MMBT2222A,1,SMD_Packages:SOT-23,
R1 R10,10M,2,SMD_Packages:SMD-0603,
R2 R6 R12,1M,3,SMD_Packages:SMD-0603,
R3,22,1,_standard:PowerRes_SM_3,
R4 R9 R15 R18,10k,4,SMD_Packages:SMD-0603,
R5,22k,1,SMD_Packages:SMD-0603,
R7 R8 R26,1k,3,SMD_Packages:SMD-0603,
R11,20M,1,SMD_Packages:SMD-0603,
R13 R14,2.2k,2,SMD_Packages:SMD-0603,
R16,2k,1,SMD_Packages:SMD-0603,
R17,330,1,SMD_Packages:SMD-0603,
R19,720k,1,SMD_Packages:SMD-0603,
R20,470,1,SMD_Packages:SMD-0603,
R21,1.5M,1,SMD_Packages:SMD-0603,
R22 R23 R25,100k,3,SMD_Packages:SMD-0603,
R24,47k,1,SMD_Packages:SMD-0603,
RV1,100k,1,Potentiometers:Potentiometer_WirePads_largePads,
RV2,10k,1,Potentiometers:Potentiometer_WirePads_largePads,
SP1,SPEAKER,1,_connectors:_Pin2mm_2,
SW1,Off Switcher,1,_connectors:_Pin2mm_2,
U1,TL082,1,SMD_Packages:SOIC-8-N,
U2,TL081,1,SMD_Packages:SOIC-8-N,
U3,MCP73831,1,SMD_Packages:SOT-23-5,
U4,LT1308,1,_standard:S8,
